,Unnamed: 0,Player,Season,Team,League,Age,VORP,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
39,39,Kevin Love,2013-14,MIN,NBA,25,7.3,77,77,36.3,8.4,18.5,6.0,11.9,2.5,6.6,6.8,8.2,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,0.457,0.502,0.376,0.524,0.821,0.591
40,40,Kobe Bryant,2002-03,LAL,NBA,24,7.1,82,82,41.5,10.6,23.5,9.1,19.5,1.5,4.0,7.3,8.7,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,0.451,0.465,0.38299999999999995,0.483,0.843,0.55
41,41,Steve Francis,2000-01,HOU,NBA,23,7.0,80,79,39.9,6.9,15.2,5.2,11.0,1.7,4.2,4.5,5.5,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9,0.451,0.47200000000000003,0.396,0.506,0.8170000000000001,0.563
42,42,Kevin Garnett,2001-02,MIN,NBA,25,7.0,81,81,39.2,8.1,17.3,7.7,15.9,0.5,1.4,4.4,5.5,3.0,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,0.47,0.484,0.319,0.484,0.8009999999999999,0.536
43,43,Tracy McGrady,2004-05,HOU,NBA,25,7.0,78,78,40.8,9.2,21.3,7.3,15.7,1.8,5.6,5.5,7.1,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,0.431,0.46799999999999997,0.326,0.473,0.774,0.526
44,44,Dwyane Wade,2005-06,MIA,NBA,24,7.0,75,75,38.6,9.3,18.8,9.1,17.8,0.2,1.0,8.4,10.7,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,0.495,0.513,0.171,0.499,0.7829999999999999,0.5770000000000001
45,45,Giannis Antetokounmpo,2016-17,MIL,NBA,22,6.9,80,80,35.6,8.2,15.7,7.6,13.5,0.6,2.3,5.9,7.7,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,0.521,0.563,0.272,0.541,0.77,0.599
46,46,James Harden,2015-16,HOU,NBA,26,6.9,82,82,38.1,8.7,19.7,5.8,11.7,2.9,8.0,8.8,10.2,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,0.439,0.494,0.359,0.512,0.86,0.598
47,47,Chris Paul,2014-15,LAC,NBA,29,6.9,82,82,34.8,6.9,14.3,5.2,10.0,1.7,4.3,3.5,3.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,0.485,0.523,0.39799999999999996,0.545,0.9,0.596
48,48,Vince Carter,2000-01,TOR,NBA,24,6.8,75,75,39.7,10.2,22.1,8.0,16.8,2.2,5.3,5.1,6.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,0.46,0.47700000000000004,0.408,0.509,0.765,0.551
49,49,Shaquille O'Neal,2000-01,LAL,NBA,28,6.8,74,74,39.5,11.0,19.2,11.0,19.2,0.0,0.0,6.7,13.1,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,0.5720000000000001,0.573,0.0,0.5720000000000001,0.513,0.574
